Crop,Soil Type,Nitrogen (N),Phosphorus (P),Potassium (K),Crop Growth Stage,Rainfall (mm),Temperature (°C),Irrigation Availability,Past Yield (tons/ha),Pest/Disease,Region,Fertilizer Recommendation
maize,sandy,0.4625,0.816666667,0.833333333,Maturity,0.907407407,0.944444444,No,0.39341917,No,Madhya Pradesh,FYM
wheat,red,0.4875,0.4,0.316666667,Vegetative,0.185185185,0.388888889,No,0.968526466,Yes,Andhra Pradesh,MOP
wheat,loamy,0.2375,0.616666667,0.4,Flowering,0.548148148,0.833333333,Yes,0.630901288,No,Andhra Pradesh,MOP
sugarcane,sandy,0.7625,0.95,0.366666667,Flowering,0.381481481,0.444444444,No,0.138769671,No,Punjab,FYM
barley,loamy,0.7,0.6,0.266666667,Sowing,0.533333333,0.222222222,Yes,0.815450644,Yes,Maharashtra,Ammonium Sulphate
millets,black,0.4,0.216666667,0.35,Harvest,0.781481481,0.5,Yes,0.659513591,No,Karnataka,FYM
barley,loamy,0.4375,0.233333333,0.416666667,Sowing,0.596296296,0.277777778,Yes,0.30758226,No,West Bengal,Zinc Sulphate
tobacco,loamy,0.5,0.85,0.85,Harvest,0.281481481,0.5,Yes,0.250357654,No,West Bengal,MOP
barley,sandy,0.3375,0.3,0.016666667,Flowering,0.422222222,0.055555556,No,0.143061516,No,Uttar Pradesh,MOP
paddy,clayey,0.2,0.45,0.383333333,Maturity,0.807407407,0.611111111,Yes,0.38769671,Yes,Uttar Pradesh,Zinc Sulphate
maize,sandy,0.3,0.933333333,0.95,Maturity,0.651851852,0.111111111,No,0.636623748,Yes,Uttar Pradesh,Compost
millets,red,0.45,0.316666667,0.5,Vegetative,0.033333333,0.333333333,Yes,0.052932761,Yes,Punjab,Ammonium Sulphate
sugarcane,sandy,0.475,0.816666667,0.816666667,Vegetative,0.266666667,0.166666667,Yes,0.155937053,Yes,Rajasthan,Urea
pulses,clayey,0.15,0.366666667,0.433333333,Vegetative,0.159259259,0.166666667,No,0.258941345,Yes,Rajasthan,NPK 20-20-20
sugarcane,black,0.9625,0.616666667,0.433333333,Maturity,0.344444444,0.111111111,No,0.101573677,Yes,Punjab,Zinc Sulphate
tobacco,loamy,0.525,0.916666667,0.866666667,Harvest,0.47037037,0.611111111,Yes,0.118741059,No,Punjab,Urea
cotton,red,0.5375,0.983333333,0.333333333,Flowering,0.296296296,0.722222222,No,0.701001431,No,Uttar Pradesh,Compost
cotton,black,0.3125,0.85,0.333333333,Vegetative,0.959259259,0.166666667,Yes,0.020028612,Yes,Punjab,Compost
millets,sandy,0.425,0.333333333,0.5,Maturity,0.340740741,0.5,Yes,0.467811159,Yes,Punjab,Zinc Sulphate
sugarcane,black,0.975,0.866666667,0.366666667,Maturity,0.381481481,0.944444444,No,0.967095851,No,Andhra Pradesh,FYM
sugarcane,loamy,0.7375,0.566666667,0.6,Vegetative,0.881481481,0,No,0.978540773,Yes,Karnataka,Compost
millets,black,0.4875,0.233333333,0.633333333,Vegetative,0.574074074,0.333333333,Yes,0.912732475,No,Rajasthan,NPK 20-20-20
pulses,clayey,0.3125,0.416666667,0.466666667,Harvest,0.188888889,0.166666667,No,0.942775393,Yes,Andhra Pradesh,Ammonium Sulphate
tobacco,clayey,0.8,0.433333333,0.733333333,Sowing,0.551851852,0.222222222,Yes,0.932761087,No,Gujarat,Ammonium Sulphate
oil seeds,loamy,0.275,0.216666667,0.4,Sowing,0.551851852,0.777777778,Yes,0.055793991,No,Maharashtra,Zinc Sulphate
millets,red,0.35,0.433333333,0.483333333,Flowering,0.714814815,0,No,0.509298999,No,Tamil Nadu,MOP
millets,black,0.525,0.35,0.1,Harvest,0.196296296,0.222222222,No,0.357653791,Yes,West Bengal,MOP
sugarcane,sandy,0.325,0.666666667,0.25,Sowing,0.296296296,0.111111111,No,0.532188841,No,Andhra Pradesh,Urea
ground nuts,black,0.3375,0.466666667,0.25,Harvest,0.281481481,0.555555556,Yes,0.081545064,Yes,Uttar Pradesh,FYM
ground nuts,loamy,0.2875,0.183333333,0.383333333,Vegetative,0.748148148,0.055555556,Yes,0.682403433,No,Punjab,Compost
barley,sandy,0.65,0.666666667,0.25,Sowing,0.811111111,0,No,0.054363376,Yes,West Bengal,Ammonium Sulphate
sugarcane,sandy,0.5875,0.683333333,0.933333333,Flowering,0.585185185,0.388888889,No,0.297567954,No,Rajasthan,Compost
tobacco,red,0.3625,1,0.433333333,Flowering,0.877777778,0.944444444,No,0.934191702,No,West Bengal,Compost
oil seeds,clayey,0.4625,0.183333333,0.083333333,Maturity,0.696296296,0.777777778,No,0.712446352,Yes,Madhya Pradesh,MOP
tobacco,clayey,0.5125,0.533333333,0.616666667,Flowering,0.085185185,0.111111111,Yes,0.306151645,No,Tamil Nadu,DAP
cotton,loamy,0.7875,0.566666667,0.65,Sowing,0.181481481,0.166666667,Yes,0.891273247,Yes,Maharashtra,Ammonium Sulphate
millets,clayey,0.425,0.516666667,0.166666667,Sowing,0.988888889,0.333333333,Yes,0.526466381,Yes,West Bengal,MOP
barley,loamy,0.75,0.666666667,0.133333333,Maturity,0.788888889,0.111111111,No,0.849785408,Yes,Andhra Pradesh,MOP
tobacco,red,0.3,0.416666667,0.583333333,Maturity,0.233333333,0.666666667,No,0.170243205,No,Maharashtra,MOP
millets,loamy,0.575,0.516666667,0.216666667,Vegetative,0.307407407,0.388888889,Yes,0.103004292,Yes,Punjab,Ammonium Sulphate
sugarcane,loamy,0.9,0.983333333,0.55,Harvest,0.603703704,0.555555556,No,0.173104435,Yes,Karnataka,Ammonium Sulphate
tobacco,red,0.8375,0.416666667,0.3,Vegetative,0.82962963,0.944444444,No,0.128755365,Yes,Karnataka,NPK 20-20-20
pulses,black,0.4,0.433333333,0.033333333,Flowering,0.122222222,0.444444444,No,0.447782546,No,Rajasthan,MOP
pulses,loamy,0.1375,0.266666667,0.4,Vegetative,0.296296296,0.388888889,Yes,0.639484979,No,West Bengal,Zinc Sulphate
cotton,clayey,0.275,0.4,0.666666667,Harvest,0.974074074,0.166666667,Yes,0.464949928,No,Karnataka,Urea
pulses,clayey,0.0875,0.333333333,0.45,Flowering,0.951851852,0.388888889,Yes,0.673819742,No,Madhya Pradesh,Urea
tobacco,clayey,0.8875,0.666666667,0.633333333,Flowering,0.8,0.5,Yes,0.281831187,No,Punjab,FYM
cotton,loamy,0.725,0.833333333,0.8,Maturity,0.592592593,0.611111111,Yes,0.062947067,Yes,Karnataka,Ammonium Sulphate
tobacco,sandy,0.7125,0.816666667,0.9,Sowing,0.855555556,0.555555556,Yes,0.048640916,Yes,Karnataka,NPK 20-20-20
oil seeds,loamy,0.075,0.266666667,0.05,Maturity,0.711111111,0.222222222,Yes,0.971387697,Yes,West Bengal,Urea
paddy,red,0.7375,0.316666667,0.216666667,Sowing,0.681481481,0.222222222,Yes,0.595135908,Yes,Karnataka,DAP
ground nuts,sandy,0.3125,0.033333333,0.45,Vegetative,0.577777778,0.111111111,Yes,0.885550787,No,West Bengal,DAP
wheat,loamy,0.125,0.216666667,0.016666667,Harvest,0.5,1,No,0.898426323,Yes,Uttar Pradesh,MOP
sugarcane,loamy,0.3875,0.866666667,1,Harvest,0.114814815,0.888888889,No,0.443490701,No,Tamil Nadu,NPK 20-20-20
paddy,clayey,0.375,0.316666667,0.183333333,Maturity,0.503703704,0.888888889,Yes,0.250357654,Yes,West Bengal,DAP
oil seeds,clayey,0,0.266666667,0.166666667,Flowering,0.3,0.333333333,No,0.081545064,Yes,West Bengal,Urea
oil seeds,black,0.2375,0.483333333,0.166666667,Vegetative,0.237037037,0.5,No,0.596566524,No,Gujarat,MOP
tobacco,red,0.825,0.816666667,0.5,Sowing,0.87037037,0.722222222,Yes,0.224606581,Yes,Uttar Pradesh,Compost
tobacco,loamy,0.3875,0.583333333,0.233333333,Flowering,0.188888889,0.611111111,No,0.699570815,No,Madhya Pradesh,Ammonium Sulphate
ground nuts,red,0.15,0.366666667,0.15,Harvest,0.018518519,0.166666667,Yes,0.536480687,Yes,Maharashtra,MOP
paddy,red,0.6,0.333333333,0.25,Sowing,0.388888889,0.055555556,Yes,0.070100143,No,Gujarat,Urea
ground nuts,clayey,0.275,0.25,0.316666667,Vegetative,0.37037037,0,No,0.17167382,Yes,Madhya Pradesh,Urea
wheat,loamy,0.3,0.2,0.666666667,Flowering,0.381481481,0.277777778,No,0.573676681,Yes,Maharashtra,Urea
tobacco,black,0.5625,0.383333333,0.683333333,Maturity,0.414814815,0.5,No,0.125894134,Yes,Andhra Pradesh,MOP
oil seeds,loamy,0.4125,0.083333333,0.383333333,Harvest,0.018518519,0.611111111,Yes,0.018597997,No,West Bengal,DAP
paddy,red,0.725,0.616666667,0.283333333,Maturity,0.337037037,0.444444444,No,0.928469242,Yes,Gujarat,Urea
paddy,sandy,0.4,0.583333333,0.166666667,Flowering,0.444444444,0.111111111,No,0.603719599,No,Uttar Pradesh,FYM
barley,clayey,0.2,0.383333333,0.216666667,Sowing,0.466666667,0,No,0.961373391,No,West Bengal,MOP
wheat,loamy,0.375,0.233333333,0.016666667,Flowering,0.007407407,0.444444444,No,0.682403433,Yes,Madhya Pradesh,MOP
wheat,clayey,0.175,0.183333333,0.65,Flowering,0.540740741,0,No,0.543633763,Yes,Gujarat,Urea
oil seeds,loamy,0.025,0.15,0.5,Harvest,0.385185185,0.777777778,No,0.909871245,No,Madhya Pradesh,Urea
millets,black,0.3,0.166666667,0.066666667,Vegetative,0.277777778,0.055555556,Yes,0.964234621,No,Tamil Nadu,MOP
cotton,sandy,0.675,0.55,1,Vegetative,0.033333333,0.222222222,Yes,0.656652361,No,West Bengal,NPK 20-20-20
tobacco,red,0.6375,0.916666667,0.216666667,Sowing,0.474074074,0.666666667,Yes,0.749642346,Yes,Rajasthan,Zinc Sulphate
millets,red,0.75,0.65,0.666666667,Maturity,0.4,0.944444444,Yes,0.124463519,No,Uttar Pradesh,Ammonium Sulphate
barley,loamy,0.4625,0.333333333,0.566666667,Vegetative,0.781481481,0,Yes,0.224606581,Yes,Uttar Pradesh,Compost
tobacco,sandy,0.6875,0.4,0.816666667,Harvest,0.340740741,0.777777778,Yes,0.376251788,Yes,Rajasthan,DAP
paddy,loamy,0.6,0.516666667,0.616666667,Maturity,0.185185185,0.722222222,No,0.507868383,No,Uttar Pradesh,Urea
pulses,clayey,0.375,0.3,0.233333333,Sowing,0.9,0.055555556,Yes,0.183118741,Yes,Madhya Pradesh,FYM
paddy,sandy,0.675,0.55,0.366666667,Maturity,0.218518519,1,No,0.941344778,No,Karnataka,DAP
millets,clayey,0.4375,0.566666667,0.65,Harvest,0.377777778,0.055555556,Yes,0.82260372,No,Punjab,Compost
wheat,red,0.75,0.483333333,0.65,Flowering,0.877777778,0.055555556,No,0.492131617,Yes,Tamil Nadu,Compost
oil seeds,black,0.0625,0.416666667,0.45,Harvest,0.096296296,0.611111111,No,0.399141631,Yes,Karnataka,Urea
oil seeds,clayey,0.175,0.433333333,0.2,Sowing,0.777777778,1,Yes,0.918454936,No,Tamil Nadu,Zinc Sulphate
millets,clayey,0.575,0.183333333,0.066666667,Sowing,0.359259259,0.388888889,No,0.763948498,Yes,Karnataka,MOP
pulses,clayey,0,0.05,0.3,Maturity,0.114814815,0.277777778,Yes,0.928469242,Yes,Tamil Nadu,Urea
maize,red,0.25,0.4,0.233333333,Flowering,0.081481481,0,Yes,0.194563662,No,Rajasthan,MOP
paddy,loamy,0.3,0.333333333,0.5,Vegetative,0.718518519,0.555555556,No,0.123032904,Yes,Gujarat,Urea
pulses,clayey,0.1875,0.3,0.25,Vegetative,0.477777778,0.222222222,Yes,0.682403433,No,Uttar Pradesh,Ammonium Sulphate
oil seeds,clayey,0.2875,0.266666667,0.366666667,Sowing,0.174074074,0.388888889,Yes,0.886981402,Yes,Punjab,DAP
tobacco,loamy,0.4375,0.8,0.183333333,Flowering,0.42962963,0.111111111,Yes,0.690987124,Yes,Rajasthan,Ammonium Sulphate
ground nuts,clayey,0.4125,0.316666667,0.116666667,Flowering,0.596296296,0.722222222,Yes,0.061516452,No,Tamil Nadu,MOP
oil seeds,red,0.375,0.15,0.316666667,Vegetative,0.996296296,0.277777778,Yes,0.816881259,Yes,Rajasthan,DAP
barley,black,0.525,0.483333333,0.616666667,Sowing,0.648148148,1,Yes,0.447782546,No,Gujarat,Zinc Sulphate
maize,clayey,0.6125,0.416666667,0.183333333,Harvest,0.922222222,0.833333333,No,0.022889843,No,Karnataka,NPK 20-20-20
paddy,sandy,0.75,0.233333333,0.133333333,Maturity,0.662962963,0.5,Yes,0.733905579,Yes,Andhra Pradesh,MOP
